Brand,Model,Title,BodyType,Doors,Seats,Kilometres,Cylinders,EngineLiters,Fuel100KM,Color,City,State,Price,LogPrice,antigüedad,FuelType_Hybrid,FuelType_LPG,FuelType_Premium,FuelType_Unleaded,Transmission_Manual,DriveType_AWD,DriveType_Front,DriveType_Other,DriveType_Rear,UsedOrNew_NEW,UsedOrNew_USED,Cluster,Año_Fabricacion
22,172,2018 Holden Commodore RS,3,1.819493336867675,-0.10229760166643412,-0.4729402820940456,1.6778175690283474,1.425222565853412,0.6326678384421505,17,419,6,29990.0,10.30865261563529,6,0,0,0,1,0,1,0,0,0,0,1,1,2018
28,274,2022 Jeep Gladiator Night Eagle (4X4),8,-0.19541313184443815,-0.10229760166643412,-2.237215145580738,1.6778175690283474,1.425222565853412,2.0940798058386787,9,122,1,72840.0,11.196034262467789,2,0,0,0,1,0,0,0,0,0,1,0,1,2022
57,420,2022 Toyota RAV4 GX (2WD) Hybrid,6,1.819493336867675,-0.10229760166643412,-2.16642479110162,-0.3383172418380758,0.3718035938769702,-1.8844477786738199,17,140,6,54950.0,10.914197158028326,2,1,0,0,0,0,0,1,0,0,0,1,2,2022
4,531,2017 BMW X1 Xdrive 25I,6,-0.19541313184443815,-0.10229760166643412,0.16894242717463073,-0.3383172418380758,-0.343375689043855,-0.5960441484647451,1,303,1,31990.0,10.373209892223665,7,0,0,1,0,0,1,0,0,0,0,1,3,2017
41,204,2019 Mitsubishi Eclipse Cross LS (awd),6,-0.19541313184443815,-0.10229760166643412,0.31965855551183425,-0.3383172418380758,-1.3236755380648566,0.026725036613327507,17,122,1,24999.0,10.126631103850338,5,0,0,0,1,0,1,0,0,0,0,1,3,2019
54,387,2018 Subaru Outback 2.0D Premium,6,-0.19541313184443815,-0.10229760166643412,0.2972082081194848,-0.3383172418380758,-0.343375689043855,-0.7794194190154506,9,121,6,29990.0,10.30865261563529,6,0,0,0,0,0,1,0,0,0,0,1,3,2018
39,117,2016 Mercedes-Benz C250,9,-0.19541313184443815,-0.10229760166643412,0.15317588055162554,-0.3383172418380758,-0.343375689043855,-0.8419958951759835,15,347,6,48800.0,10.795506083434564,8,0,0,1,0,0,0,0,0,1,0,1,3,2016
15,439,2015 Ford Ranger XL 3.2 (4X4),8,-0.19541313184443815,-0.10229760166643412,1.114530137133137,1.0210194626650004,1.1021325636208585,0.7741637326364065,19,565,1,33990.0,10.43385106267516,9,0,0,0,0,0,0,0,0,0,0,1,1,2015
54,387,2018 Subaru Outback 2.0D,6,-0.19541313184443815,-0.10229760166643412,0.7604192505671771,-0.3383172418380758,-0.343375689043855,-0.7794194190154506,15,140,6,26950.0,10.201775681400134,6,0,0,0,0,0,1,0,0,0,0,1,0,2018
57,331,2019 Toyota Landcruiser LC200 Sahara (4X4),6,-0.19541313184443815,1.7957787101786438,0.08236275307680231,2.2360552813323067,1.9896661165829244,0.9121008305373406,9,158,1,123888.0,11.727141282400721,5,0,0,0,0,0,0,0,0,0,0,1,1,2019
15,439,2022 Ford Ranger XLT 3.0 (4X4),8,-0.19541313184443815,-0.10229760166643412,-1.2683157857928333,1.6778175690283474,0.9179628193666983,0.3883706605314973,2,555,6,71490.0,11.177326846633413,2,0,0,0,0,0,0,0,0,0,0,1,1,2022
4,45,2017 BMW 420I Sport Line,2,-2.386352565355528,-1.0720922910481312,-0.3403424497973191,-0.3383172418380758,-0.343375689043855,-0.9053295196210648,9,50,6,39990.0,10.596409707779776,7,0,0,1,0,0,0,0,0,1,0,1,3,2017
57,287,2017 Toyota HiAce LWB,0,-0.19541313184443815,-3.0702492154064758,-0.046497742738693726,-0.3383172418380758,0.9179628193666983,0.23633620197612573,17,18,3,34990.0,10.462846164547514,7,0,0,0,0,1,0,0,0,1,0,1,0,2017
41,388,2017 Mitsubishi Outlander LS 7 Seat (2WD),6,-0.19541313184443815,1.7957787101786438,-0.3773511734711748,-0.3383172418380758,0.2445746496916485,-0.4772460182501034,9,503,1,26990.0,10.203258756085228,7,0,0,0,1,0,0,1,0,0,0,1,3,2017
57,420,2021 Toyota RAV4 Cruiser (awd) Hybrid,6,1.819493336867675,-0.10229760166643412,-0.003742663908945285,-0.3383172418380758,0.3718035938769702,-1.807961285851164,17,555,6,55990.0,10.932946242515648,3,1,0,0,0,0,1,0,0,0,0,1,2,2021
26,357,2018 Isuzu MU-X LS-U (4X2),6,-0.19541313184443815,1.7957787101786438,0.678778297460737,-0.3383172418380758,0.9179628193666983,0.23633620197612573,17,555,6,33990.0,10.43385106267516,6,0,0,0,0,0,0,1,0,0,0,1,0,2018
15,220,2020 Ford Fiesta ST,3,1.819493336867675,-0.10229760166643412,-0.6984287822895947,-3.61098125449118,-1.3236755380648566,-0.7794194190154506,2,224,1,29990.0,10.30865261563529,4,0,0,1,0,1,0,1,0,0,0,1,2,2020
41,392,2010 Mitsubishi Pajero GL LWB (4X4),6,-0.19541313184443815,-0.10229760166643412,1.5819122190250936,-0.3383172418380758,1.1021325636208585,0.7741637326364065,17,182,6,22987.0,10.042727619627632,14,0,0,0,0,0,0,0,0,0,0,1,0,2010
57,151,2018 Toyota Camry Ascent,7,-0.19541313184443815,-0.10229760166643412,0.5867488780878043,-0.3383172418380758,0.3718035938769702,0.07989804220789865,17,272,3,23950.0,10.083765355620846,6,0,0,0,1,0,0,1,0,0,0,1,0,2018
29,161,2017 Kia Cerato S,7,-0.19541313184443815,-0.10229760166643412,0.26197132242719595,-0.3383172418380758,-0.343375689043855,-0.30390266637351315,9,398,0,18900.0,9.846970109700957,7,0,0,0,1,0,0,1,0,0,0,1,3,2017
3,75,2022 Audi A3 35 Tfsi Mhev,7,-0.19541313184443815,-0.10229760166643412,-1.7069132445482849,-0.3383172418380758,-1.3236755380648566,-1.7326082828428921,15,465,3,50990.0,10.839404425545462,2,0,0,1,0,0,0,1,0,0,0,0,3,2022
15,211,2019 Ford Everest Trend (4WD 7 Seat),6,-0.19541313184443815,1.7957787101786438,0.37381964684526203,1.0210194626650004,1.1021325636208585,0.4381156119934809,4,555,6,49990.0,10.819598268208338,5,0,0,0,0,0,0,0,0,0,0,1,1,2019
51,384,2019 Skoda Octavia 110 TSI,7,-0.19541313184443815,-0.10229760166643412,-0.4954923092731166,-0.3383172418380758,-1.5654268785583831,-1.5130026584610081,9,465,3,19990.0,9.903037451255743,5,0,0,1,0,0,0,1,0,0,0,1,3,2019
57,549,2021 Toyota Yaris Cross GXL Hybrid,6,-0.19541313184443815,-0.10229760166643412,-1.1819303625107256,-3.61098125449118,-1.3236755380648566,-2.630708785107197,1,430,1,38450.0,10.557139982397933,3,1,0,0,0,0,0,1,0,0,0,1,2,2021
57,317,2019 Toyota Kluger Grande (4X4),6,-0.19541313184443815,1.7957787101786438,-0.7805758319345285,1.6778175690283474,1.349502966788858,0.9121008305373406,15,50,6,55999.0,10.933106969717286,5,0,0,0,1,0,1,0,0,0,0,1,1,2019
57,287,2018 Toyota HiAce Commuter (12 Seats),5,-1.5549521590937436,6.372711607202102,-0.971564355701257,-0.3383172418380758,0.9179628193666983,0.9121008305373406,17,121,6,73950.0,11.211157990697956,6,0,0,0,0,0,0,0,0,1,0,1,3,2018
57,289,2019 Toyota Hilux SR5 (4X4),8,-0.19541313184443815,-0.10229760166643412,0.2024966096384798,-0.3383172418380758,0.7156780925056878,0.4381156119934809,15,555,6,57990.0,10.968043105074278,5,0,0,0,0,0,0,0,0,0,0,1,3,2019
22,169,2017 Holden Colorado LTZ (4X2),8,-0.19541313184443815,-0.10229760166643412,0.6593584788334304,-0.3383172418380758,0.7156780925056878,0.6326678384421505,17,226,1,29990.0,10.30865261563529,7,0,0,0,0,0,0,0,0,1,0,1,0,2017
54,547,2015 Subaru XV 2.0I,6,-0.19541313184443815,-0.10229760166643412,0.366871067699587,-0.3383172418380758,-0.343375689043855,-0.30390266637351315,8,18,3,19990.0,9.903037451255743,9,0,0,0,1,0,1,0,0,0,0,1,0,2015
41,204,2019 Mitsubishi Eclipse Cross LS (2WD),6,-0.19541313184443815,-0.10229760166643412,-0.23267470267559393,-0.3383172418380758,-1.3236755380648566,-0.1914037969544527,17,387,6,28990.0,10.274740715974103,5,0,0,0,1,0,0,1,0,0,0,1,3,2019
42,381,2016 Nissan Navara DX,8,-0.19541313184443815,-0.10229760166643412,0.12072340118964,-0.3383172418380758,0.3718035938769702,1.0908028850453002,17,555,6,29990.0,10.30865261563529,8,0,0,0,1,1,0,0,0,1,0,1,0,2016
37,20,2009 Mazda 3 Maxx Sport,7,-0.19541313184443815,-0.10229760166643412,1.0602572935692167,-0.3383172418380758,-0.343375689043855,0.2874903807664528,2,273,1,9990.0,9.209439966733019,15,0,0,0,1,0,0,1,0,0,0,1,0,2009
37,143,2016 Mazda CX-5 Maxx Sport (4X4),6,-0.19541313184443815,-0.10229760166643412,0.5758593806574362,-0.3383172418380758,-0.032174751477738864,-1.166648580237614,15,398,0,20990.0,9.951849053414007,8,0,0,0,0,0,1,0,0,0,0,1,0,2016
54,335,2018 Subaru Liberty 2.5I Premium,7,-0.19541313184443815,-0.10229760166643412,-0.1382611480351615,-0.3383172418380758,0.3718035938769702,-0.1914037969544527,17,50,6,29999.0,10.308952660644293,6,0,0,0,1,0,1,0,0,0,0,1,3,2018
37,143,2018 Mazda CX-5 Akera (4X4),6,-0.19541313184443815,-0.10229760166643412,-0.3367259230708615,-0.3383172418380758,0.3718035938769702,-0.08122822514728265,17,503,1,35990.0,10.491024186183038,6,0,0,0,1,0,1,0,0,0,0,1,3,2018
37,20,2014 Mazda 3 NEO,3,1.819493336867675,-0.10229760166643412,0.8901325995971725,-0.3383172418380758,-0.343375689043855,-1.1000776658104299,9,232,3,16888.0,9.734417801417921,10,0,0,0,1,0,0,1,0,0,0,1,2,2014
41,330,2015 Mitsubishi Lancer LS,7,-0.19541313184443815,-0.10229760166643412,0.6188440867875639,-0.3383172418380758,-0.343375689043855,-0.24735623347978206,14,303,1,14990.0,9.615205300012315,9,0,0,0,1,0,0,1,0,0,0,1,0,2015
22,172,2010 Holden Commodore SV6,7,-0.19541313184443815,-0.10229760166643412,1.7173555441049715,1.6778175690283474,1.425222565853412,1.178033679826215,14,419,6,11999.0,9.392661928770137,14,0,0,0,1,0,0,0,0,1,0,1,1,2010
30,227,2019 LDV G10,0,-0.19541313184443815,-3.0702492154064758,0.16569587426170376,-0.3383172418380758,-0.5140234222181094,0.3381653434600557,17,272,3,19999.0,9.903487552536127,5,0,0,0,0,1,0,0,0,1,0,1,0,2019
29,479,2020 Kia Sportage S (fwd),6,-0.19541313184443815,-0.10229760166643412,-0.5589689734002528,-0.3383172418380758,-0.343375689043855,0.13255038682889927,15,519,6,29990.0,10.30865261563529,4,0,0,0,1,0,0,1,0,0,0,1,3,2020
